,,,Annual 2004-2005,Annual 2004-2005,Annual 2004-2005,Annual 2005-2006,Annual 2005-2006,Annual 2005-2006,Annual 2006-2007,Annual 2006-2007,Annual 2006-2007,Annual 2007-2008,Annual 2007-2008,Annual 2007-2008,Annual 2008-2009,Annual 2008-2009,Annual 2008-2009,Annual 2009-2010,Annual 2009-2010,Annual 2009-2010,Annual 2010-2011,Annual 2010-2011,Annual 2010-2011,Annual 2011-2012,Annual 2011-2012,Annual 2011-2012,Annual 2012-2013,Annual 2012-2013,Annual 2012-2013,Annual 2013-2014,Annual 2013-2014,Annual 2013-2014,Annual 2014-2015,Annual 2014-2015,Annual 2014-2015,Annual 2015-2016,Annual 2015-2016,Annual 2015-2016,Annual 2016-2017,Annual 2016-2017,Annual 2016-2017,Annual 2017-2018,Annual 2017-2018,Annual 2017-2018,Annual 2018-2019,Annual 2018-2019,Annual 2018-2019,Annual 2019-2020,Annual 2019-2020,Annual 2019-2020,Annual 2020-2021,Annual 2020-2021,Annual 2020-2021,Annual 2021-2022,Annual 2021-2022,Annual 2021-2022,Annual 2022-2023,Annual 2022-2023,Annual 2022-2023,Annual 2023-2024,Annual 2023-2024,Annual 2023-2024,Annual 2024-2025,Annual 2024-2025,Annual 2024-2025
,,Chafee Grant,5,9,"$18,085",6,9,"$22,053",8,15,"$36,667",9,15,"$36,730",7,13,"$33,333",7,10,"$25,000",,,,3,4,"$10,000",6,8,"$19,482",9,17,"$42,500",6,7,"$16,667",9,14,"$34,206",11,14,"$29,554",20,31,"$74,008",22,37,"$92,500",20,20,"$50,000",22,39,"$95,425",21,34,"$110,117",15,22,"$55,000",17,17,"$60,000",4,4,"$10,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,198,"$148,500",683,"1,106","$1,022,091",,,,,,,,,,,,,,,,,,
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,,,,3,4,"$2,947",3,3,"$2,209",3,4,"$4,120",3,4,"$3,312",3,3,"$2,505",3,4,"$3,344",1,1,$836,1,1,$836,,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,100,"$224,823"
,,Dream Act Service Incentive Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,21,"$76,063",11,21,"$78,600",,,
,,EOPS Grant,383,581,"$141,701",642,"1,046","$216,865",536,863,"$188,820",608,957,"$225,620",645,"1,085","$188,295",241,424,"$51,169",450,597,"$66,627",486,695,"$65,418",263,312,"$27,225",418,603,"$120,915",308,403,"$72,800",470,687,"$117,074",579,888,"$137,873",614,939,"$150,732",471,639,"$129,675",712,"1,012","$141,682",781,"1,266","$386,368",602,769,"$384,671",715,"1,059","$303,702",784,"1,201","$385,112",602,919,"$569,923"
,,Equity Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,136,"$54,391",17,18,"$5,897",2,2,$450,,,
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526,862,"$257,955",633,982,"$294,309",703,"1,117","$558,500",587,863,"$557,656",,,,,,,,,,,,,,,,,,
,,Other grant: institutional source,197,364,"$109,386",175,321,"$92,245",188,331,"$106,191",184,301,"$107,145",240,415,"$141,237",80,123,"$21,525",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,784","9,936","$2,409,457",,,,,,,,,,"1,770","3,456","$821,032"
,,Other grant: non-institutional source,,,,2,2,$455,1,1,"$1,500",2,4,"$4,100",3,4,"$3,250",2,4,"$5,700",,,,,,,,,,,,,,,,,,,,,,226,275,"$86,990",,,,,,,,,,"3,181","3,898","$645,377",51,82,"$263,443",66,99,"$275,428",480,641,"$2,314,779"
,,Pell Grant,"1,367","2,641","$3,162,882","1,305","2,508","$3,057,037","1,315","2,567","$3,178,705","1,306","2,559","$3,373,120","1,515","2,908","$4,358,548","1,934","3,649","$6,451,570","2,608","4,942","$8,550,868","3,103","5,795","$10,013,489","3,178","5,934","$10,356,913","3,312","6,119","$10,620,561","3,371","6,345","$10,880,672","3,111","5,952","$10,125,611","2,927","5,563","$9,504,577","2,815","5,462","$9,892,918","2,806","5,384","$10,119,220","3,223","6,176","$11,713,000","2,736","5,232","$10,141,335","2,692","5,077","$9,713,492","2,806","5,329","$11,041,875","3,091","5,869","$12,999,858","3,616","7,093","$16,989,397"
,,SEOG (Supplemental Educational Opportunity Grant),305,495,"$152,080",360,519,"$147,500",443,613,"$176,700",262,448,"$126,450",264,361,"$104,750",281,402,"$112,370",235,430,"$120,778",340,447,"$133,050",346,504,"$144,150",320,507,"$142,445",436,616,"$171,450",395,645,"$182,100",397,690,"$192,075",449,681,"$195,750",741,"1,127","$320,250","1,357","1,714","$389,034",753,"1,046","$337,800",828,"1,113","$333,900",635,939,"$272,100",517,800,"$224,400",791,"1,162","$329,815"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653,"1,024","$937,850",599,952,"$856,308",571,834,"$775,114",475,726,"$1,471,107",609,926,"$2,510,139",734,"1,065","$2,295,569"
,Loans Total,,121,311,"$455,726",113,289,"$437,305",108,275,"$419,694",117,323,"$566,759",147,446,"$763,907",176,519,"$879,665",184,621,"$1,124,495",228,760,"$1,452,697",270,916,"$1,704,008",273,908,"$1,656,244",247,816,"$1,501,002",186,575,"$1,081,156",155,465,"$957,033",173,555,"$1,026,570",131,407,"$849,510",117,356,"$763,182",56,174,"$377,161",80,231,"$489,127",95,312,"$598,169",85,265,"$543,977",75,243,"$539,475"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,,,,177,337,"$583,435",213,408,"$723,694",259,485,"$835,051",261,485,"$810,524",237,446,"$768,268",174,305,"$536,466",146,250,"$481,176",163,301,"$524,172",119,219,"$401,364",106,189,"$372,083",49,86,"$166,468",75,125,"$261,441",84,157,"$283,968",83,148,"$277,448",74,129,"$266,505"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,,,,150,284,"$541,060",184,352,"$729,003",233,431,"$868,957",228,423,"$845,720",198,370,"$732,734",155,268,"$533,791",121,213,"$461,857",135,254,"$502,398",106,188,"$448,146",93,166,"$383,599",50,88,"$210,693",67,106,"$227,686",82,155,"$314,201",66,117,"$266,529",65,114,"$272,970"
,,Other loan: non-institutional source,83,143,"$215,656",19,20,"$7,700",22,36,"$14,595",26,47,"$18,095",35,61,"$23,870",32,55,"$21,175",,,,,,,,,,,,,,,,1,2,"$10,899",1,2,"$14,000",,,,,,,1,1,"$7,500",,,,,,,,,,,,,,,
,,"Stafford Loan, subsidized",97,168,"$240,070",90,166,"$234,502",85,141,"$215,014",91,158,"$317,926",106,204,"$354,813",136,250,"$452,109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",,,,56,103,"$195,103",59,98,"$190,085",67,118,"$230,738",92,181,"$385,224",117,214,"$406,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,106,172,"$103,186",118,194,"$125,541",114,194,"$129,682",92,159,"$108,382",193,278,"$223,389",167,286,"$166,245",230,251,"$198,243",418,696,"$537,517",456,804,"$701,008",472,830,"$738,071",588,890,"$916,350",813,"1,216","$1,096,729",836,"1,357","$1,330,697",793,"1,290","$1,207,660",803,"1,292","$1,052,891",804,"1,331","$1,256,204",676,"1,046","$1,109,534",584,870,"$984,399",701,"1,013","$1,079,335",569,767,"$873,705",709,914,"$827,876"
,,Scholarship: institutional source,81,142,"$72,450",84,153,"$88,337",102,179,"$113,072",89,155,"$98,505",91,168,"$107,750",106,189,"$86,859",82,82,"$59,003",102,180,"$93,705",131,237,"$146,500",145,245,"$141,450",178,191,"$235,662",316,341,"$309,903",359,393,"$340,363",345,402,"$302,817",338,381,"$295,698",350,408,"$318,328",258,285,"$297,455",328,343,"$291,786",313,321,"$324,500",251,256,"$328,672",378,406,"$346,621"
,,Scholarship: non-institutional source,26,30,"$30,736",35,41,"$37,204",14,15,"$16,610",4,4,"$9,877",109,110,"$115,639",68,97,"$79,386",80,80,"$74,475",219,351,"$296,220",236,384,"$368,460",220,376,"$424,945",286,439,"$453,183",402,661,"$613,937",406,760,"$813,043",364,690,"$755,089",359,685,"$569,485",374,701,"$735,139",364,590,"$680,332",291,455,"$662,395",418,612,"$717,134",292,436,"$512,374",362,494,"$472,191"
,,Scholarship: Osher Scholarship,,,,,,,,,,,,,,,,,,,,,,10,19,"$9,000",8,16,"$7,250",17,29,"$13,375",10,20,"$9,625",15,22,"$12,250",,,,,,,14,23,"$11,139",16,30,"$16,800",11,22,"$12,750",17,31,"$17,850",24,44,"$26,813",19,31,"$21,208",7,14,"$9,064"
,,Scholarship: source unknown,,,,,,,,,,,,,,,,,,,83,89,"$64,765",126,146,"$138,592",145,167,"$178,798",153,180,"$158,301",212,240,"$217,880",162,192,"$160,639",180,204,"$177,291",171,198,"$149,754",182,203,"$176,569",162,192,"$185,937",138,149,"$118,997",31,41,"$12,368",33,36,"$10,888",40,44,"$11,451",,,
,Work Study Total,,97,302,"$168,811",71,224,"$141,872",52,164,"$97,951",71,224,"$139,726",58,196,"$123,823",92,308,"$182,663",60,92,"$125,673",69,106,"$127,781",83,123,"$131,841",,,,,,,79,114,"$160,804",89,125,"$174,763",65,96,"$179,003",65,106,"$167,432",34,57,"$96,105",61,87,"$151,532",107,172,"$189,874",169,248,"$273,710",181,286,"$306,590",117,145,"$281,847"
,,California State Work Study (SWS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,102,"$49,608",83,118,"$34,972",85,138,"$26,367",,,
,,Federal Work Study (FWS) (Federal share),97,151,"$126,609",71,112,"$106,403",52,82,"$73,459",71,112,"$104,790",58,98,"$92,863",92,154,"$136,991",60,92,"$125,673",69,106,"$127,781",83,123,"$131,841",,,,,,,79,114,"$160,804",89,125,"$174,763",65,96,"$179,003",65,106,"$167,432",34,57,"$96,105",61,87,"$151,532",50,70,"$140,266",89,130,"$238,738",99,148,"$280,223",117,145,"$281,847"
,,Other Work Study and matching funds,97,151,"$42,202",71,112,"$35,469",52,82,"$24,492",71,112,"$34,936",58,98,"$30,960",92,154,"$45,672",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American River Total,,,"15,223","44,822","$28,108,504","17,058","49,480","$29,504,689","18,545","52,014","$29,516,148","21,065","60,324","$36,013,443","24,692","68,959","$45,472,358","27,442","88,504","$72,978,169","29,902","91,969","$76,117,928","30,184","88,767","$74,768,697","30,427","85,313","$72,901,249","29,603","83,327","$67,916,663","29,134","79,314","$62,559,774","28,288","81,494","$63,986,072","26,290","77,077","$58,667,646","25,245","75,061","$56,290,536","24,543","73,181","$56,486,486","24,470","79,562","$60,680,755","23,545","82,713","$60,767,781","21,908","81,968","$60,212,053","20,681","75,972","$63,641,203","22,235","70,592","$66,140,446","22,856","73,656","$76,972,975"
,California College Promise Grant Total,,"14,914","26,506","$5,746,460","16,765","29,933","$6,450,361","18,456","33,015","$6,041,863","20,685","36,746","$5,559,774","24,454","43,055","$6,286,315","26,714","47,067","$9,150,734","29,408","52,057","$9,958,500","29,787","51,565","$13,456,242","30,063","51,052","$17,252,690","29,293","49,937","$16,965,088","28,721","49,389","$16,670,617","27,982","48,799","$16,236,350","26,010","45,566","$15,046,347","24,931","43,164","$14,078,040","24,202","42,009","$14,463,679","24,137","41,395","$13,346,904","23,017","39,195","$12,883,518","21,162","35,484","$11,711,115","19,791","32,612","$10,679,343","21,491","35,647","$11,947,442","22,212","36,818","$12,600,456"
,,California College Promise - Method A-? (unknown base),832,"1,436","$305,402",641,"1,081","$207,890",493,850,"$138,573",609,"1,026","$143,270",593,981,"$130,400",498,919,"$162,802",250,458,"$78,608",201,327,"$74,892",141,259,"$76,682",67,113,"$31,809",82,133,"$36,984",65,107,"$29,578",56,94,"$22,563",66,108,"$31,533",82,145,"$44,892",70,94,"$15,323",1,1,$46,1,1,$0,1,1,$276,1,1,$138,1,1,$0
,,California College Promise - Method B based on income standards,"10,024","16,593","$3,485,855","10,779","18,234","$3,810,180","12,316","21,467","$3,821,260","12,763","21,769","$3,143,609","13,918","23,542","$3,211,710","13,378","22,269","$4,050,600","14,353","24,466","$4,450,276","12,990","21,630","$5,383,663","12,841","20,504","$6,502,501","11,388","18,278","$5,791,569","12,568","21,044","$6,786,625","10,392","17,119","$5,198,446","9,022","14,822","$4,479,080","8,605","14,247","$4,306,190","6,613","11,050","$3,471,333","4,990","8,159","$2,301,991","3,011","4,904","$1,425,439","2,436","3,903","$1,138,330","1,728","2,716","$786,097","1,318","2,123","$611,009","1,147","1,856","$585,388"
,,California College Promise - Method C based on financial need,"4,391","8,477","$1,955,203","5,631","10,523","$2,408,969","5,501","10,419","$2,020,641","7,142","13,641","$2,217,725","9,773","18,223","$2,889,465","12,631","23,494","$4,855,686","14,620","26,808","$5,361,390","16,413","29,286","$7,899,058","16,899","29,985","$10,555,091","17,662","31,245","$11,021,644","15,885","27,894","$9,720,275","17,347","31,258","$10,890,198","17,014","30,358","$10,432,946","16,235","28,528","$9,631,596","17,010","29,983","$10,527,036","18,300","31,874","$10,468,401","18,818","32,472","$10,712,395","17,486","29,734","$9,745,232","16,969","28,267","$9,162,512","19,239","32,077","$10,672,365","19,921","33,182","$11,176,313"
,,California College Promise - Method D based on Homeless Youth determination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,"$1,196",5,10,"$3,312",,,,1,2,$230,2,4,$805,4,6,"$3,036",,,,,,
,,California College Promise (AB19) Fee Waiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365,597,"$327,969",631,"1,024","$475,537","1,089","1,655","$690,829","1,148","1,699","$775,619","1,023","1,520","$696,257",850,"1,312","$616,101","1,036","1,605","$778,587"
,,Fee Waiver – Dependent (children) of Deceased Law Enforcement/Fire Suppression,,,,2,2,$364,1,2,$696,,,,,,,1,1,$0,1,3,$572,,,,,,,,,,,,,1,2,$230,1,2,$552,2,5,"$2,346",1,3,"$1,334",2,5,"$2,116",1,2,$575,1,3,$874,1,2,$460,3,7,"$4,370",1,1,$138
,,Fee Waiver – Dependent (surviving spouse and children) of deceased or disabled member of CA National Guard,,,,1,3,$676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,$989,,,,,,,,,,,,,,,,,,,,,,,,
,,Fee Waiver – Dependent of (children) deceased or disabled Veteran,,,,53,90,"$22,282",149,277,"$60,693",171,310,"$55,170",170,309,"$54,740",206,384,"$81,646",184,322,"$67,654",182,321,"$98,413",182,304,"$118,416",176,301,"$120,066",186,318,"$126,733",177,313,"$117,898",169,287,"$110,217",159,272,"$105,179",133,221,"$87,803",144,239,"$83,536",96,159,"$54,004",88,140,"$50,255",65,100,"$30,705",80,127,"$43,459",106,173,"$60,030"
,,"Fee Waiver – Dependent of (surviving spouse and children) of deceased victims of September 11, 2001 terrorist attack",,,,,,,,,,,,,,,,,,,,,,1,1,$216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grants Total,,"5,988","14,486","$16,143,954","6,340","15,774","$16,909,899","6,388","15,371","$17,125,372","7,500","18,590","$20,549,102","8,608","19,560","$25,304,773","11,422","29,408","$40,418,076","12,607","29,447","$43,258,730","11,909","27,082","$39,775,793","11,240","26,213","$38,469,548","10,561","27,014","$37,543,884","10,162","24,476","$35,356,026","10,016","27,880","$37,094,616","9,099","25,549","$32,395,346","8,692","26,253","$31,983,579","8,550","25,905","$32,425,619","10,656","33,311","$37,747,235","10,211","39,936","$39,949,989","10,042","43,562","$41,236,938","9,539","40,189","$45,299,212","9,707","30,922","$43,799,136","10,152","32,680","$54,008,870"
,,Academic Competitiveness Grant,,,,,,,12,20,"$8,400",59,83,"$34,150",129,197,"$83,098",197,322,"$127,810",277,449,"$169,242",,,,,,,,,,,,,,,,,,,,,,,,,4,7,"$17,250",,,,,,,,,,,,,,,
,,Bureau of Indian Affairs (BIA) Grant,1,2,"$2,810",2,3,"$3,150",,,,,,,1,2,"$1,100",1,3,"$14,441",4,8,"$25,557",1,1,$60,1,2,"$5,000",5,7,"$22,100",6,10,"$14,236",8,8,"$10,608",12,13,"$19,626",11,16,"$18,566",9,11,"$14,968",8,9,"$9,889",5,6,"$8,550",3,5,"$4,400",4,5,"$6,884",11,13,"$17,727",6,8,"$25,048"
,,Cal Grant A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,"$10,500",44,66,"$137,250",72,106,"$232,500",72,102,"$217,500",78,124,"$275,250"
,,Cal Grant B,"1,161","2,017","$1,354,072","1,195","2,082","$1,428,056","1,227","2,130","$1,432,503","1,358","2,289","$1,552,893","1,420","2,467","$1,641,877","1,473","2,620","$1,759,473","1,570","2,792","$1,854,966","1,549","2,713","$1,789,587","1,574","2,743","$1,720,209","1,758","3,080","$1,950,383","1,867","3,232","$2,246,659","2,086","3,669","$2,594,485","2,007","3,395","$2,332,653","1,998","3,354","$2,270,472","1,950","3,299","$2,227,755","1,928","3,245","$3,551,353","2,095","3,492","$3,956,293","2,693","4,276","$4,859,912","2,610","4,182","$4,570,164","2,969","4,839","$5,155,172","3,564","5,749","$6,157,778"
,,Cal Grant C,187,304,"$74,770",242,435,"$109,584",227,372,"$91,020",254,432,"$106,128",228,365,"$86,292",219,365,"$86,904",189,315,"$72,216",184,306,"$67,824",175,290,"$61,157",190,317,"$67,584",202,320,"$68,442",163,260,"$54,362",149,223,"$45,068",152,242,"$100,804",163,255,"$107,100",130,196,"$188,857",143,238,"$230,567",78,123,"$132,342",34,52,"$41,615",20,32,"$20,845",164,272,"$310,137"
,,CalWORKs Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298,487,"$192,825",242,242,"$106,550",366,454,"$93,850",570,793,"$200,500"
,,CARE Grant,196,278,"$127,625",159,237,"$104,690",133,196,"$113,053",176,256,"$107,547",140,214,"$80,748",106,170,"$66,500",103,154,"$54,560",90,127,"$32,691",79,117,"$45,157",101,143,"$51,135",104,154,"$42,834",99,160,"$86,279",73,116,"$111,596",77,103,"$92,985",59,94,"$79,731",62,98,"$94,689",59,106,"$90,225",57,90,"$94,470",59,104,"$79,700",64,112,"$171,879",76,116,"$336,862"
,,CARES/HEERF federal grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,827","12,271","$5,867,200","9,549","16,500","$8,641,100","9,000","15,299","$12,087,900","3,728","3,767","$2,106,450",,,
,,Chafee Grant,25,39,"$114,973",26,43,"$111,704",36,63,"$155,930",58,92,"$234,826",56,88,"$222,224",41,68,"$164,658",23,41,"$102,186",29,44,"$109,931",34,51,"$127,500",39,65,"$160,704",40,62,"$154,954",32,51,"$124,699",38,65,"$156,993",33,55,"$126,241",42,63,"$154,198",53,79,"$195,428",47,72,"$179,167",51,81,"$231,336",50,75,"$183,968",46,72,"$178,182",42,53,"$135,000"
,,Completion Grant (CCCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,189,"$141,292",,,,,,,,,,,,,,,,,,,,,
,,CSAC CNG EAAP (California Student Aid Commission California National Guard Education Assistance Award Program),,,,,,,,,,,,,,,,,,,,,,5,6,"$4,654",1,1,$736,10,14,"$18,410",11,18,"$14,832",7,10,"$8,280",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Disaster Relief Emergency Student Financial Aid (SB 116),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,253,"$202,400",,,,,,,,,,,,
,,Dream Act Service Incentive Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,"$4,500"
,,EOPS Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973,975,"$238,547",841,841,"$227,836","1,114","1,716","$837,425","1,251","1,896","$732,175","1,214","1,831","$492,779",574,589,"$261,431",877,999,"$349,913",811,"1,033","$387,010",879,"1,407","$560,350","1,165","1,739","$779,667",775,800,"$469,255"
,,Full-time Student Success Grant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,390","2,176","$653,322","1,253","1,796","$535,335","1,157","1,677","$837,980",,,,,,,,,,,,,,,,,,,,,
,,Other grant: institutional source,,,,,,,,,,,,,,,,,,,,,,,,,5,9,"$6,392",,,,20,21,$822,14,14,$551,,,,32,38,$860,,,,,,,,,,3,3,$75,5,5,$160,,,,,,
,,Other grant: non-institutional source,26,40,"$52,519",61,77,"$136,615",54,69,"$140,858",76,93,"$144,371",61,85,"$136,386",85,123,"$200,934",81,100,"$167,932",65,82,"$142,294",66,75,"$136,144",61,80,"$120,223",40,50,"$111,565",33,38,"$71,247",38,49,"$107,848",33,41,"$94,214",25,32,"$75,782","7,919","7,928","$2,454,576",20,22,"$37,139",17,19,"$36,625",55,82,"$58,049",15,16,"$23,244",18,20,"$48,577"
,,Pell Grant,"5,911","10,166","$13,935,322","6,223","10,766","$14,393,268","6,291","10,248","$14,518,296","7,373","12,613","$17,561,437","8,474","13,376","$22,234,277","11,306","23,671","$37,386,256","12,518","23,460","$40,185,671","11,830","20,700","$36,714,502","11,157","19,516","$35,364,053","10,455","18,246","$33,653,645","9,898","17,269","$31,769,260","9,809","17,511","$32,343,897","8,842","15,289","$27,393,165","8,424","15,029","$26,505,990","8,298","14,947","$26,704,817","8,684","15,837","$28,321,725","7,902","14,432","$25,511,205","7,374","13,035","$22,852,583","7,014","12,317","$22,421,759","8,395","14,902","$29,609,195","9,930","17,693","$38,780,788"
,,SEOG (Supplemental Educational Opportunity Grant),972,"1,640","$481,863","1,169","2,131","$622,832","1,528","2,273","$665,312","1,711","2,732","$807,750","1,573","2,766","$818,771","1,177","2,066","$611,100","1,261","2,128","$626,400","1,885","3,103","$914,250","2,392","3,409","$1,003,200","3,107","5,062","$1,499,700","1,357","2,365","$693,875","1,817","3,142","$919,050","1,716","2,887","$855,637","2,176","3,613","$1,062,000","2,240","3,806","$1,119,900","2,126","3,801","$1,119,100","4,024","6,499","$1,927,905","3,885","6,031","$1,808,175","2,955","4,553","$1,341,000","1,746","2,741","$796,651","2,833","4,433","$1,300,953"
,,Student Success Completion Grant (SSCG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,091","1,567","$1,448,589","1,031","1,522","$1,532,937","1,081","1,541","$1,578,925","1,334","1,813","$1,858,835","1,269","1,760","$3,608,613","1,512","2,133","$4,628,774","1,843","2,617","$5,964,222"
,Loans Total,,"1,200","3,307","$5,638,958","1,237","3,292","$5,576,353","1,273","3,309","$5,841,264","1,664","4,365","$9,005,240","2,116","5,654","$12,889,297","3,151","11,325","$22,367,123","3,448","9,852","$21,950,172","3,401","9,372","$20,491,581","2,597","7,307","$16,092,488","1,936","5,538","$11,958,158","1,480","4,141","$9,148,529","1,371","3,986","$8,844,605","1,303","3,848","$9,080,814","1,183","3,326","$8,091,963","1,150","3,172","$7,635,651","1,202","3,266","$8,244,264",994,"2,753","$7,279,429",913,"2,566","$6,558,622",965,"2,747","$6,820,536","1,185","3,383","$9,159,014","1,181","3,347","$9,052,140"
,,Federal Direct Student Loan - subsidized,,,,,,,,,,,,,,,,286,348,"$599,609","3,351","5,346","$10,765,101","3,310","5,257","$10,514,930","2,494","4,051","$7,972,014","1,855","3,084","$6,064,396","1,403","2,306","$4,620,063","1,308","2,235","$4,427,831","1,227","2,024","$4,081,465","1,079","1,689","$3,469,198","1,044","1,623","$3,247,763","1,089","1,680","$3,480,234",913,"1,392","$3,075,633",872,"1,313","$2,874,108",926,"1,420","$2,995,666","1,142","1,712","$3,731,512","1,123","1,691","$3,585,790"
,,Federal Direct Student Loan - unsubsidized,,,,,,,,,,,,,,,,178,240,"$451,168","2,683","4,451","$10,941,506","2,467","4,039","$9,589,009","1,888","3,124","$7,373,602","1,384","2,352","$5,339,814","1,026","1,745","$3,991,508",959,"1,687","$4,038,001","1,069","1,775","$4,666,435",987,"1,581","$4,311,450",955,"1,495","$4,102,928","1,012","1,543","$4,479,463",876,"1,340","$4,092,836",812,"1,234","$3,571,610",844,"1,288","$3,603,369","1,079","1,632","$5,074,329","1,084","1,627","$5,207,734"
,,Other loan: non-institutional source,9,16,"$39,553",8,14,"$37,589",20,34,"$120,599",27,42,"$172,596",20,30,"$136,423",30,51,"$160,947",39,55,"$243,565",49,76,"$387,642",81,132,"$746,872",61,102,"$553,948",61,90,"$536,958",46,64,"$378,773",34,49,"$332,914",40,56,"$311,315",36,54,"$284,960",28,43,"$284,567",12,21,"$110,960",14,19,"$112,904",26,39,"$221,501",25,39,"$353,173",20,29,"$258,616"
,,"Stafford Loan, subsidized","1,130","1,866","$2,990,685","1,161","1,838","$2,932,030","1,196","1,811","$3,085,947","1,575","2,389","$5,188,535","2,012","2,980","$6,487,466","2,877","5,570","$9,507,195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Stafford Loan, unsubsidized",864,"1,425","$2,608,720",904,"1,440","$2,606,734",951,"1,464","$2,634,718","1,232","1,934","$3,644,109","1,765","2,644","$6,265,408","2,712","5,116","$11,648,204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scholarship Total,,114,133,"$136,993",132,142,"$136,155",3,4,"$3,875",231,252,"$240,271",253,274,"$290,943",285,337,"$382,280",248,282,"$301,340",310,370,"$335,785",262,323,"$301,843",231,263,"$282,122",293,338,"$322,165",131,151,"$171,775",200,231,"$199,996",155,178,"$171,663",200,254,"$253,689",270,330,"$348,571",278,367,"$335,351",147,200,"$190,306",208,220,"$208,258",288,341,"$356,779",490,541,"$564,208"
